"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2022-05-01","3","481","8","0.016632016632016633","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-02","10","612","14","0.02287581699346405","2","2","5","3","0","0","2","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-03","10","1719","80","0.04653868528214078","14","6","27","7","9","0","16","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-04","1","246","10","0.04065040650406504","3","0","3","0","3","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-05","3","242","2","0.008264462809917356","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-06","0","57","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-07","2","85","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-08","3","110","6","0.05454545454545454","0","1","1","3","1","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-09","4","85","3","0.03529411764705882","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-10","3","360","6","0.016666666666666666","0","1","3","2","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-11","0","223","1","0.004484304932735426","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-12","8","802","29","0.03615960099750624","2","4","9","7","0","0","5","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-13","4","340","8","0.023529411764705882","0","1","1","4","0","0","1","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-05-14","1","239","3","0.012552301255230125","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
