"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2022-09-01","2","8321","1450","0.17425790169450786","13","4","92","13","13","0","73","0","0","0","0","0","0","1243","1242","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-02","7","825","71","0.08606060606060606","7","3","15","0","1","0","4","0","0","0","0","0","0","41","41","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-03","9","870","49","0.05632183908045977","15","3","8","3","2","0","5","0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-04","5","756","54","0.07142857142857142","21","6","21","0","0","0","4","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-05","8","961","28","0.029136316337148804","11","6","6","2","0","0","0","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-06","13","1980","95","0.047979797979797977","11","9","38","12","0","0","15","0","0","0","2","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-07","18","1357","54","0.0397936624907885","12","7","13","12","1","0","5","0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-08","32","34090","1346","0.03948371956585509","45","28","386","234","319","6","116","0","0","0","3","0","0","209","209","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-09","4","1577","97","0.061509194673430564","8","3","30","17","18","0","8","0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-10","10","4292","69","0.016076421248835043","5","5","14","28","3","0","10","0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-11","6","1282","33","0.02574102964118565","5","3","10","5","2","0","5","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-12","5","990","26","0.026262626262626262","4","4","8","3","4","0","0","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-13","6","744","29","0.038978494623655914","7","4","8","2","3","0","4","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-14","6","788","37","0.046954314720812185","4","5","12","6","4","0","3","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-15","4","581","38","0.06540447504302926","12","4","10","3","3","0","5","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-16","7","808","74","0.09158415841584158","24","4","15","11","4","0","14","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-17","13","1611","65","0.040347610180012414","19","8","19","12","0","0","2","0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-18","0","401","4","0.00997506234413965","0","1","1","0","0","0","1","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-19","11","1516","51","0.033641160949868076","11","9","14","8","0","1","8","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-20","6","869","30","0.03452243958573072","9","4","7","0","1","0","9","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-21","0","198","7","0.03535353535353535","0","0","1","3","1","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-22","10","875","40","0.045714285714285714","13","6","12","8","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-23","28","8202","123","0.014996342355523043","10","21","36","14","17","0","25","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-24","21","3228","83","0.025712515489467163","4","18","32","6","1","0","13","0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-25","11","828","39","0.04710144927536232","6","5","13","4","1","0","10","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-26","3","433","10","0.023094688221709007","1","1","5","2","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-27","10","618","20","0.032362459546925564","4","6","8","2","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-28","6","483","23","0.047619047619047616","4","3","8","2","0","0","6","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-29","6","351","19","0.05413105413105413","5","3","9","1","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-09-30","13","1365","70","0.05128205128205128","11","10","17","5","1","0","25","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
